gene,lgu_Unaffected,lgcv_Unaffected,dropr_Unaffected,dist_Unaffected,lgu_CRC,lgcv_CRC,dropr_CRC,dist_CRC,mean_diff,dist_sign,dv_score,z_score,pval
PBX1,0.7296407,0.7341088,0.5152057245080501,2.7730785156886265e-05,1.0162629,0.5265617,0.28455988455988457,0.031147887652281898,0.28662217,1.0,0.03291000565651979,3.2884803615895217,0.0010072981164381822
PRKG1,0.832428,0.67399925,0.4525939177101968,0.014162381771831753,0.8894263,0.6304911,0.3968253968253968,0.04615562279113665,0.056998312,1.0,0.03227426047219198,3.226987429941236,0.0012510095578914804
FGGY,0.45981327,0.9730853,0.7119856887298748,0.006354143100686067,0.8100906,0.67919344,0.4481962481962482,0.03744960401044391,0.35027733,1.0,0.032210897992604307,3.2208586463933586,0.001278071679890358
MALRD1,0.07259681,1.8635212,0.962432915921288,0.012402052447129072,0.3119519,1.1856651,0.8236652236652237,0.04272025119543824,0.23935509,1.0,0.03165562971800673,3.1671499044350653,0.0015394094249645551
PLXDC2,0.56817555,0.874614,0.6350626118067979,0.005069170875334626,0.31456932,1.1675928,0.8178932178932179,0.03557458555002923,-0.25360623,1.0,0.031394347564211514,3.1418771913727808,0.0016786843050144995
CENPP,0.16679122,1.4255881,0.8998211091234347,0.004279088140927828,0.44509375,0.99502677,0.7245310245310246,0.034948684695322495,0.27830255,1.0,0.03095537810140669,3.0994175395541315,0.0019390154497931356
NRCAM,0.030308558,2.211129,0.9838998211091234,0.0026034693839804856,0.35763112,1.0980425,0.7847041847041847,0.031883918834496455,0.32732257,1.0,0.029632619637036568,2.9714727310964695,0.002963751921310598
LINC01594,0.013736576,2.5674007,0.9928443649373881,0.0010730280097314378,0.48897427,0.9409571,0.689033189033189,0.030409060739849732,0.4752377,1.0,0.029546678106699132,2.963159971863575,0.0030449827488905346
SLC27A6,0.62158906,0.8011473,0.5796064400715564,0.00018706580909149266,0.44786876,0.9573094,0.7017316017316018,0.010545553378893603,-0.1737203,1.0,0.02902347374084679,2.912552635621681,0.00358487777611205
EPS8,0.93648803,0.5800336,0.3559928443649374,0.010639604302756364,1.0840373,0.4720739,0.22294372294372294,0.022408668166152442,0.14754927,1.0,0.02790209715899404,2.8040866413841177,0.005045934348257619
PAN3,0.7679283,0.6865144,0.47048300536672627,0.0001853187876446884,1.2069285,0.3559821,0.11991341991341992,0.00021621410391722335,0.4390002,1.0,0.027870848724179755,2.8010641129977127,0.00509343986556976
NHSL1,0.640134,0.79348344,0.5760286225402504,0.0001280916162696031,0.8255128,0.64418364,0.417027417027417,0.016266271586403744,0.18537885,1.0,0.027786226435800383,2.7928789584365563,0.005224123602355801
EZR,0.869381,0.6240198,0.4007155635062612,0.011885994743779741,0.52902704,0.8851159,0.6476190476190476,0.0180950990790037,-0.34035397,1.0,0.027601674949741577,2.77502807698662,0.005519694237252404
SPTBN1,0.63155794,0.7858727,0.5670840787119857,0.00024603272409247503,0.70445293,0.7185631,0.49927849927849927,0.0029061891386966895,0.07289499,1.0,0.027416426378295115,2.7571097694276814,0.005831477169363941
SRI,0.46056905,0.93658495,0.6905187835420393,0.00022272548449573426,0.15037796,1.446745,0.9064935064935065,0.005317973999560815,-0.3101911,1.0,0.027127892462940374,2.729201109208916,0.006348797267145212
ATP9A,0.59926313,0.81335855,0.5957066189624329,0.00023296125216300438,0.85292596,0.61079824,0.38455988455988455,0.0038358238264449293,0.25366282,1.0,0.026905109875900647,2.707652295729901,0.006776097308067497
VAV3,0.58975387,0.84363085,0.6171735241502684,8.085134512895049e-05,0.5746319,0.84810925,0.6171717171717171,0.02227582994967803,-0.015121937,1.0,0.02672502521813054,2.6902334716095564,0.007140204568058861
LRRTM4,0.012944208,2.597239,0.9928443649373881,0.0011319703559830067,0.18867214,1.4051024,0.8963924963924964,0.027608701830603957,0.17572793,1.0,0.026540688929348154,2.6724034052782177,0.0075310052945172234
MAML2,1.0761824,0.48975194,0.2558139534883721,0.01949663567357805,0.67769164,0.759704,0.5383838383838384,0.021370723109563478,-0.39849073,1.0,0.02577632868574649,2.598470085178969,0.009364020374140303
PRSS23,0.31849575,1.1423116,0.8032200357781754,0.008895101623917484,0.5774433,0.85898435,0.6261183261183261,0.03352534722188967,0.25894755,1.0,0.025513073065590544,2.573006487096991,0.010081931798308963
APOLD1,0.09035466,1.7189897,0.9499105545617174,0.006280181734881757,0.4670955,0.96560234,0.7037518037518038,0.030835455586673197,0.37674084,1.0,0.025341513285191408,2.556412238159292,0.010575774500713786
FGF13,0.04313641,2.0180569,0.9731663685152058,0.0004989584294617321,0.23002203,1.3014188,0.8678210678210678,0.025313386046233358,0.18688563,1.0,0.02523699216308601,2.546302353922851,0.010887084421500992
PYGB,0.6251757,0.8050697,0.5831842576028623,0.00013092764781143983,0.49067017,0.91524106,0.6718614718614718,0.012555204045836956,-0.13450554,1.0,0.024970706728843283,2.5205456947919833,0.011717302360872317
EDAR,0.049178593,1.9550525,0.9695885509838998,0.0002640935759802153,0.40717605,1.0237496,0.7435786435786436,0.024696618693542473,0.35799745,1.0,0.024810601522394105,2.5050593981444926,0.012243083086841189
